N°,Date,Comptes,Intitulé,Code opération,Débit,Crédit,Réf. Pièce
1,2010/01/10,101000,"Capital
Apport de l'associé unique",CAPITAL,,2000,Certificat HSBC
2,2010/01/10,512100,"Banque
Dépôt du capital de CorpRef dans les livres d'HSBC",CAPITAL,2000,,Certificat HSBC
3,2010/01/18,512100,"Banque
Retrait en espèces",Remboursement JAL 1,,20,DAB 1
4,2010/01/18,513000,"Caisse
Frais d'installation",Remboursement JAL 1,20,,DAB 1
5,2010/01/18,513000,"Caisse
Frais d'installation",Remboursement JAL 2,,20,PV 2010 & FF Jal
6,2010/01/18,625000,"Déplacements; missions et réceptions
Remboursement des frais de publication avancées par le gérant",Remboursement JAL 2,20,,PV 2010 & FF Jal
7,2010/01/19,512100,"Banque
Retrait en espèces",Remboursement JAL 3,,30,DAB 2
8,2010/01/19,513000,"Caisse
Frais d'installation",Remboursement JAL 3,30,,DAB 2
9,2010/01/19,513000,"Caisse
Frais d'installation",Remboursement JAL 4,,30,PV 2010
10,2010/01/19,625000,"Déplacements; missions et réceptions
Remboursement des frais de publication avancées par le gérant",Remboursement JAL 4,30,,PV 2010
11,2010/01/20,616400,"Primes d'assurance - risques d'exploitation
Assurance risque d'exploitation AXA",AXA_2010 facture,719.2,,Contrat Axa 2010
12,2010/01/20,401100,"Fournisseurs - Achats de biens et services
Assurance risque d'exploitation AXA",AXA_2010 facture,,719.2,Contrat Axa 2010
13,2010/01/20,401100,"Fournisseurs - Achats de biens et services
Assurance risque d'exploitation AXA",AXA_2010 paiement,719.2,,Ch 0324651
14,2010/01/20,512100,"Banque
Règlement facture assurance risque
Exploitation AXA",AXA_2010 paiement,,719.2,Ch 0324651
15,2010/01/21,627000,"Services bancaires et assimilés
Frais tenue de compte HSBC jan_2010",HSBC_M1_2010 facture,20,,FF hsbc 1
16,2010/01/21,445660,"TVA déductible
TVA déductible sur frais tenue de compte
HSBC jan_2010",HSBC_M1_2010 facture,3.92,,FF hsbc 1
17,2010/01/21,401100,"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC jan_2010",HSBC_M1_2010 facture,,23.92,FF hsbc 1
18,2010/01/21,401100,"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC jan_2010",HSBC_M1_2010 paiement,23.92,,Prélèv. Hsbc 1
19,2010/01/21,512100,"Banque
Frais tenue de compte HSBC jan_2010",HSBC_M1_2010 paiement,,23.92,Prélèv. Hsbc 1
20,2010/01/31,706000,"Prestations de service
Facture MOZILLA n°1 – prestations de janvier_2010",MOZILLA_M1,,7960,FC MOZILLA 1
21,2010/01/31,445710,"TVA collectée
Facture MOZILLA n°1 – prestations de janvier_2010",MOZILLA_M1,,1560.160,FC MOZILLA 1
22,2010/01/31,411000,Clientes – ventes de prestations de service Facture MOZILLA n°1 – prestations de janvier_2010,MOZILLA_M1,9520.16,,FC MOZILLA 1
23,2010/02/01,626000,"Frais postaux et de télécommunications
La Poste - achat de timbres",POSTE 0 facture,6.72,,FF laposte 1
24,2010/02/01,401100,"Fournisseurs - Achats de biens et services
La Poste - achat de timbres",POSTE 0 facture,,6.72,FF laposte 1
25,2010/02/01,401100,"Fournisseurs - Achats de biens et services
La Poste - achat de timbres",POSTE 0 paiement,6.72,,CB laposte 1
26,2010/02/01,512100,"Banque
La Poste - achat de timbres",POSTE 0 paiement,,6.72,CB laposte 1
27,2010/02/03,625000,"Voyages et déplacements
Carte intégrale février 2010 - RATP",RATP_M2_2010 facture,101.13,,FF ratp 2010
28,2010/02/03,401100,"Fournisseurs - Achats de biens et services
Carte intégrale février 2010 - RATP",RATP_M2_2010 facture,,101.13,FF ratp 2010
29,2010/02/03,401100,"Fournisseurs - Achats de biens et services
Carte intégrale février 2010 - RATP",RATP_M2_2010 paiement,101.13,,Prélèv. Ratp fev 2010
30,2010/02/03,512100,"Banque
Carte intégrale février 2010 - RATP",RATP_M2_2010 paiement,,101.13,Prélèv. Ratp fev 2010
31,2010/02/04,627000,"Services bancaires et assimilés
Frais tenue de compte HSBC fév_2010",HSBC_M2_2010 facture,20,,FF hsbc 2
32,2010/02/04,445660,"TVA déductible
TVA déductible sur frais tenue de compte
HSBC fév_2010",HSBC_M2_2010 facture,3.92,,FF hsbc 2
33,2010/02/04,401100,"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC fév_2010",HSBC_M2_2010 facture,,23.92,FF hsbc 2
34,2010/02/04,401100,"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC fév_2010",HSBC_M2_2010 paiement,23.92,,Prélèv. Hsbc 2
35,2010/02/04,512100,"Banque
Frais tenue de compte HSBC fév_2010",HSBC_M2_2010 paiement,,23.92,Prélèv. Hsbc 2
36,2010/02/28,706000,"Prestations de service
Facture MOZILLA n°2 – prestations de février_2010",MOZILLA_M2,,7960,FC MOZILLA 2
37,2010/02/28,445710,"TVA collectée
Facture MOZILLA n°2 – prestations de février_2010",MOZILLA_M2,,1560.160,FC MOZILLA 2
38,2010/02/28,411000,Clientes – ventes de prestations de service Facture MOZILLA n°2 – prestations de février_2010,MOZILLA_M2,9520.16,,FC MOZILLA 2
39,2010/03/03,625000,"Déplacements; missions et réceptions
Carte intégrale mars 2010 - RATP",RATP_M3_2010 facture,101.13,,FF ratp 2010
40,2010/03/03,401100,"Fournisseurs - Achats de biens et services
Carte intégrale mars 2010 - RATP",RATP_M3_2010 facture,,101.13,FF ratp 2010
41,2010/03/03,401100,"Fournisseurs - Achats de biens et services
Carte intégrale mars 2010 - RATP",RATP_M3_2010 paiement,101.13,,Prélèv. Ratp mars 2010
42,2010/03/03,512100,"Banque
Carte intégrale mars 2010 - RATP",RATP_M3_2010 paiement,,101.13,Prélèv. Ratp mars 2010
43,2010/03/04,627000,"Services bancaires et assimilés
Frais tenue de compte HSBC mars_2010",HSBC_M3_2010 facture,20,,FF hsbc 3
44,2010/03/04,445660,"TVA déductible
TVA déductible sur frais tenue de compte
HSBC mars_2010",HSBC_M3_2010 facture,3.92,,FF hsbc 3
