Code op type;First date;Comptes;Intitulé;Code opération;Débit;Crédit;Réf. Pièce;Period unite <y,m,d>;Period value;[opt]: exception
;2010/01/10;101000;"Capital
Apport de l'associé unique";CAPITAL;;2000;Certificat HSBC;;;
;2010/01/10;512100;"Banque
Dépôt du capital de CorpRef dans les livres d'HSBC";CAPITAL;2000;;Certificat HSBC;;;
;2010/01/18;512100;"Banque
Retrait en espèces";Remboursement JAL 1;;20;DAB 1;;;
;2010/01/18;513000;"Caisse
Frais d'installation";Remboursement JAL 1;20;;DAB 1;;;
;2010/01/18;513000;"Caisse
Frais d'installation";Remboursement JAL 2;;20;PV 2010 & FF Jal;;;
;2010/1/18;625000;"Déplacements; missions et réceptions
Remboursement des frais de publication avancées par le gérant";Remboursement JAL 2;20;;PV 2010 & FF Jal;;;
;2010/1/19;512100;"Banque
Retrait en espèces";Remboursement JAL 3;;30;DAB 2;;;
;2010/1/19;513000;"Caisse
Frais d'installation";Remboursement JAL 3;30;;DAB 2;;;
;2010/1/19;513000;"Caisse
Frais d'installation";Remboursement JAL 4;;30;PV 2010;;;
;2010/1/19;625000;"Déplacements; missions et réceptions
Remboursement des frais de publication avancées par le gérant";Remboursement JAL 4;30;;PV 2010;;;
;2010/1/20;616400;"Primes d'assurance - risques d'exploitation
Assurance risque d'exploitation AXA";AXA_2010 facture;719.2;;Contrat Axa 2010;;;
;2010/1/20;401100;"Fournisseurs - Achats de biens et services
Assurance risque d'exploitation AXA";AXA_2010 facture;;719.2;Contrat Axa 2010;;;
;2010/1/20;401100;"Fournisseurs - Achats de biens et services
Assurance risque d'exploitation AXA";AXA_2010 paiement;719.2;;Ch 0324651;;;
;2010/1/20;512100;"Banque
Règlement facture assurance risque
Exploitation AXA";AXA_2010 paiement;;719.2;Ch 0324651;;;
;2010/1/21;627000;"Services bancaires et assimilés
Frais tenue de compte HSBC jan_2010";HSBC_M1_2010 facture;20;;FF hsbc 1;;;
;2010/1/21;445660;"TVA déductible
TVA déductible sur frais tenue de compte
HSBC jan_2010";HSBC_M1_2010 facture;3.92;;FF hsbc 1;;;
;2010/1/21;401100;"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC jan_2010";HSBC_M1_2010 facture;;23.92;FF hsbc 1;;;
;2010/1/21;401100;"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC jan_2010";HSBC_M1_2010 paiement;23.92;;Prélèv. Hsbc 1;;;
;2010/1/21;512100;"Banque
Frais tenue de compte HSBC jan_2010";HSBC_M1_2010 paiement;;23.92;Prélèv. Hsbc 1;;;
;2010/2/1;626000;"Frais postaux et de télécommunications
La Poste - achat de timbres";POSTE 0 facture;6.72;;FF laposte 1;;;
;2010/2/1;401100;"Fournisseurs - Achats de biens et services
La Poste - achat de timbres";POSTE 0 facture;;6.72;FF laposte 1;;;
;2010/2/1;401100;"Fournisseurs - Achats de biens et services
La Poste - achat de timbres";POSTE 0 paiement;6.72;;CB laposte 1;;;
;2010/2/1;512100;"Banque
La Poste - achat de timbres";POSTE 0 paiement;;6.72;CB laposte 1;;;
;2010/2/3;625000;"Voyages et déplacements
Carte intégrale février 2010 - RATP";RATP_M2_2010 facture;101.13;;FF ratp 2010;;;
;2010/2/3;401100;"Fournisseurs - Achats de biens et services
Carte intégrale février 2010 - RATP";RATP_M2_2010 facture;;101.13;FF ratp 2010;;;
;2010/2/3;401100;"Fournisseurs - Achats de biens et services
Carte intégrale février 2010 - RATP";RATP_M2_2010 paiement;101.13;;Prélèv. Ratp fev 2010;;;
;2010/2/3;512100;"Banque
Carte intégrale février 2010 - RATP";RATP_M2_2010 paiement;;101.13;Prélèv. Ratp fev 2010;;;
