"Charges d'exploitation :
Achat de marchandises",0.00,,"Produits d'exploitation :
Ventes de marchandises",0.00,
Variation de stocks (marchandises),0.00,,Production vendue (biens et services),92535.00,
Achats d'approvisionnements,30.09,,Production stockée,0.00,
Variations de stocks (approvisionnements),0.00,,Production immobilisée,0.00,
Autres charges externes,2734.48,,Subventions d'exploitation,0.00,
"Impôts, taxes et versements assimilés",145.00,,Autres produits,0.00,
Rémunérations du personnel,60963.04,,Produits financiers,0.00,
Charges sociales,2072.00,,Total I,92535.00,
Dotations aux amortissements,0.00,,dont à l’exploitation :,0.00,
Dotations aux provisions,0.00,,Produits exceptionnels (II),0.00,
Autres charges,0.00,,Total des produits (I+II),92535.00,
Charges financières,0.00,,Solde débiteur : perte,0.00,
Total I,65944.61,,TOTAL GENERAL,92535.00,
Charges exceptionnelles (II),0.00,,,0.00,
Impôts sur les bénéfices (III),3988.56,,,0.00,
Total des charges (I +II+ III),69933.17,,,0.00,
Solde créditeur : bénéfice (I),22601.83,,,0.00,
TOTAL GENERAL,92535.00,,,0.00,
