Code op type;First date;Comptes;Intitulé;Code opération;Débit;Crédit;Réf. Pièce;Period unite <y,m,d>;Period value;[opt]: exception
1;2011/01/03;625000;"Voyages et déplacements
Carte intégrale %(month_name)s %(year_name)s - RATP";RATP_M%(month_nb)s_%(year_name)s facture;101.13;;FF ratp %(year_name)s;m;1;7
1;2011/01/03;401100;"Fournisseurs - Achats de biens et services
Carte intégrale %(month_name)s %(year_name)s - RATP";RATP_M%(month_nb)s_%(year_name)s facture;;101.13;FF ratp %(year_name)s;m;1;7
2;2011/01/03;401100;Fournisseurs - Achats de biens et services Carte intégrale %(month_name)s %(year_name)s - RATP;RATP_M%(month_nb)s_%(year_name)s paiement;101.13;;Prélèv. Ratp %(month_name)s %(year_name)s;m;1;7
2;2011/01/03;512100;Banque Carte intégrale %(month_name)s %(year_name)s - RATP;RATP_M%(month_nb)s_%(year_name)s paiement;;101.13;Prélèv. Ratp %(month_name)s %(year_name)s;m;1;7
3;2011/01/01;616400;"Primes d'assurance - risques d'exploitation
Assurance risque d'exploitation AXA";AXA_%(year_name)s;663.4;;Bilan %(previous_year)s;y;1;
3;2011/01/01;486000;"Charges constatées d'avance
Assurance risque d'exploitation %(year_name)s";AXA_%(year_name)s;;663.4;Bilan %(previous_year)s;y;1;
4;2011/01/05;627000;"Services bancaires et assimilés
Frais tenue de compte HSBC %(month_name)s_%(year_name)s";HSBC_M%(month_nb)s_%(year_name)s facture;20;;FF hsbc %(month_nb)s;m;1;
4;2011/01/05;445660;TVA déductible TVA déductible sur frais tenue de compte HSBC %(month_name)s_%(year_name)s;HSBC_M%(month_nb)s_%(year_name)s facture;3.92;;FF hsbc %(month_nb)s;m;1;
4;2011/01/05;401100;"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC %(month_name)s_%(year_name)s";HSBC_M%(month_nb)s_%(year_name)s facture;;23.92;FF hsbc %(month_nb)s;m;1;
5;2011/01/05;401100;"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC %(month_name)s_%(year_name)s";HSBC_M%(month_nb)s_%(year_name)s service paiement;20;;PRLV TBD;m;1;
