Immobilisations incorporelles:,0.00,,0.00,0.00,Capital,2000.00,2000.00
- Fonds commercial,0.00,,0.00,0.00,Ecarts de réévaluation,0.00,0.00
- Autres,0.00,,0.00,0.00,Réserves: réserve légale,1200.00,1200.00
Immobilisations corporelles:,0.00,,0.00,0.00,Réserves: réserves réglementées,0.00,0.00
Immobilisations financières:,0.00,,0.00,0.00,Réserves: Autres,0.00,0.00
TOTAL : Actif immobilisé (I),0.00,,0.00,0.00,Report à nouveau,-8507.99,9665.04
Stock en cours (autres que marchandises),0.00,,0.00,0.00,Résultat de l'exercice,28292.48,-18173.03
Marchandises,0.00,,0.00,0.00,Provision réglementée,0.00,0.00
Avances et accomptes verses sur commandes,0.00,,0.00,0.00,TOTAL : Capitaux propres (I),22984.49,-5307.99
Créances: clients et accomptes ratachés,0.00,,0.00,0.00,Provisions (II),0.00,0.00
Créances: autres,622.52,,622.52,2260.35,Dettes: emprunts et dettes assimilées,0.00,0.00
Valeurs mobilières de placement,0.00,,0.00,0.00,"Dettes: avances et acomptes reçus sur
Commandes en cours",0.00,0.00
Disponibilités (autres que caisse),14842.09,,14842.09,16902.06,Dettes: Fournisseurs et comptes ratachés,0.00,0.00
Caisse,0.00,,0.00,0.00,Dettes: Autres,2834.58,24470.40
TOTAL : Actif circulant (II),15464.61,,15464.61,19162.41,TOTAL :  Dettes (III),2834.58,24470.40
Charges constatées d'avance (III),10354.46,,10354.46,0.00,Produits constatés d'avance (IV),0.00,0.00
TOTAL GENERAL:  I + II +III,25819.07,,25819.07,19162.41,TOTAL GENERAL:  I + II +III + IV,25819.07,19162.41
