2013-07-12 16:43:25,441 res_partner_address.csv row[   0] col[ 0] INFO     Logger set to 'res_partner_address.csv'
2013-07-12 16:43:25,629 res_partner_address.csv row[   0] col[ 0] INFO     Lines: 29
2013-07-12 16:43:25,629 res_partner_address.csv row[   0] col[ 0] INFO     Offset: 1
2013-07-12 16:43:25,629 res_partner_address.csv row[   0] col[ 0] INFO     Limit: -1
2013-07-12 16:43:25,645 res_partner_address.csv row[   2] col[ 0] INFO     <res.users                > NO UPDATE 'Lucie Weiss'[4]
2013-07-12 16:43:25,675 res_partner_address.csv row[   2] col[ 0] INFO     <res.partner              > UPDATE 'Bank Wealthy and sons'[9]
2013-07-12 16:43:25,684 res_partner_address.csv row[   2] col[ 0] INFO     <res.partner.title        > NO UPDATE 'Sir'[5]
2013-07-12 16:43:25,700 res_partner_address.csv row[   2] col[ 0] INFO     <res.partner.address      > UPDATE 'Arthur Grosbonnet, France, Paris, 1 rue Rockfeller'[14]
2013-07-12 16:43:25,756 res_partner_address.csv row[   3] col[ 0] INFO     <res.users                > NO UPDATE 'Lucie Weiss'[4]
2013-07-12 16:43:25,775 res_partner_address.csv row[   3] col[ 0] INFO     <res.partner              > UPDATE 'Centrale d'achats BML'[20]
2013-07-12 16:43:25,783 res_partner_address.csv row[   3] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:25,813 res_partner_address.csv row[   3] col[ 0] INFO     <res.partner.address      > CREATE 'Carl Francois, Bruxelles, 89 Chaussee de Waterloo'[100]
2013-07-12 16:43:25,861 res_partner_address.csv row[   4] col[ 0] INFO     <res.users                > NO UPDATE 'Lucie Weiss'[4]
2013-07-12 16:43:25,896 res_partner_address.csv row[   4] col[ 0] INFO     <res.partner              > UPDATE 'SmartBusiness'[6]
2013-07-12 16:43:25,902 res_partner_address.csv row[   4] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:25,916 res_partner_address.csv row[   4] col[ 0] INFO     <res.partner.address      > CREATE 'Jack Daniels, Buenos Aires, Palermo, Capital Federal'[101]
2013-07-12 16:43:25,950 res_partner_address.csv row[   5] col[ 0] INFO     <res.users                > NO UPDATE 'Lucie Weiss'[4]
