name,revcodes,pr,prccs
U_ICU,200;201;202;203;204;206;207;208;209,,
U_CCU,210;211;212;213;214;219,,
U_NEWBN2L,172,,
U_NEWBN3L,173,,
U_NEWBN4L,174,,
U_CATH,481,,47
U_STRESS,482,,201
U_ECHO,483,0024;3728;8872,
U_EKG,730;731;739,,202
U_CTSCAN,350;351;352;359,,177;178;179;180
U_CHESTXRAY,324,8744;8749,
U_ULTRASOUND,402,9513,192;194;195;196;197
U_EEG,740;749,8914;8919,
U_NUCMED,340;341;342;343;344;349,9201;9202;9203;9204;9205;9206;9207;9208;9209;9211;9212;9213;9214;9215;9216;9217;9218;9219;9220;9221;9222;9223;9224;9225;9226;9227;9228;9229;9230;9231;9232;9233;9234;9235;9236;9237;9238;9239,
U_MRT,610;611;612;613;614;615;616;618;619,,198
U_PACEMAKER,275,,48
U_OTHIMPLANTS,278,,
U_LITHOTRIPSY,790;799,9851;9582;9859,
U_OCCTHERAPY,430;431;432;433;434;439,,9383
U_PHYTHERAPY,420;421;422;423;424;429,,212;213
U_RADTHERAPY,330;331;332;333;335;339,,221;224
U_RESPTHERAPY,410;412;413;419,,9390;9391;9392;9393;9394;9395;9396;9397;9398;9399;9670;9671;9672
U_BLOOD,380;381;382;383;384;385;386;387;389;390;391;399,,222
U_DIALYSIS,800;801;802;803;804;809,3995;5498,
U_EPO,634;635,,
U_MHSA,114;116;124;126;134;144;146;154;156;513;944;945;1001;1002;900;901;902;903;904;905;906;907;909;910;911;912;913;914;915;916;917;918;919,,218;219
U_ED,450;451;452;456;459,,
U_OBSERVATION,762,,
U_ORGANACQ,810;811;812;813;814;819,,
U_SPEECHTHERAPY,440;441;442;443;444;449,9371;9372;9373;9374;9375,
