N°,Date,Comptes,Intitulé,Code opération,Débit,Crédit,Réf. Pièce
1,2013/01/01,101000,Capital,OUVERTURE 2013,,2000,BILAN 2012
2,2013/01/01,106100,    Réserve légale,OUVERTURE 2013,,1200,BILAN 2012
3,2013/01/01,110000,Report à nouveau (solde créditeur),OUVERTURE 2013,,9665.04,BILAN 2012
4,2013/01/01,120000,Résultat de l'exercice (déficit),OUVERTURE 2013,18173.03,,BILAN 2012
5,2013/01/01,421000,Personnel & Rémunérations dues,OUVERTURE 2013,567.88,,BILAN 2012
6,2013/01/01,438000,    Organismes sociaux & Charges à payer et produits à recevoir,OUVERTURE 2013,,9090.16,BILAN 2012
7,2013/01/01,445710,Taxes sur le chiffre d'affaires collectées par l'entreprise,OUVERTURE 2013,1692.47,,BILAN 2012
8,2013/01/01,448600,    Charges à payer,OUVERTURE 2013,,380.24,BILAN 2012
9,2013/01/01,457000,Associés & Dividendes à payer,OUVERTURE 2013,,15000,BILAN 2012
10,2013/01/01,512100,    Comptes en monnaie nationale,OUVERTURE 2013,16887.06,,BILAN 2012
11,2013/01/01,512101,    Comptes en monnaie nationale,OUVERTURE 2013,15,,BILAN 2012
12,2013/01/05,627000,"Services bancaires et assimilés
Frais tenue de compte HSBC janvier_2013",HSBC_M1_2013 facture,22,,FF hsbc 1
13,2013/01/05,445660,TVA déductible TVA déductible sur frais tenue de compte HSBC janvier_2013,HSBC_M1_2013 facture,4.31,,FF hsbc 1
14,2013/01/05,401100,"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC janvier_2013",HSBC_M1_2013 facture,,26.31,FF hsbc 1
15,2013/01/05,401100,"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC janvier_2013",HSBC_M1_2013 service paiement,22,,PRLV TBD
16,2013/01/05,512100,"Banque
Frais tenue de compte HSBC janvier_2013",HSBC_M1_2013 service paiement,,22,PRLV TBD
17,2013/01/05,401100,"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC janvier_2013",HSBC_M1_2013 TVA paiement,4.31,,PRLV TBD
18,2013/01/05,512100,"Banque
Frais tenue de compte HSBC janvier_2013",HSBC_M1_2013 TVA paiement,,4.31,PRLV TBD
19,2013/01/06,644000,"Rémunération du travail de l'exploitant
Rémunération_Gérant_M1_2013",GERANT_M1_2013,1000,,PV 2012 & taux prél sociaux
20,2013/01/06,421000,"Exploitant - rémunération due
Rémunération_Gérant_M1_2013",GERANT_M1_2013,,1000,PV 2012 & taux prél sociaux
21,2013/01/06,438000,"Organismes sociaux & Charges à payer et produits à recevoir
Cotisations RSI rémunération_Gérant_M6_2013",GERANT_M1_2013 cotisations RSI,,60.14,site RSI
22,2013/01/06,645800,"Cotisations aux autres organismes sociaux
Charges RSI M1_2013",GERANT_M1_2013 cotisations RSI,60.14,,site RSI
23,2013/01/06,438000,"Organismes sociaux & Charges à payer et produits à recevoir
Cotisations Ursaaf – rémunération_Gérant_M1_2013",GERANT_M1_2013 cotisations URSAAF,,139.66,site Urssaf
24,2013/01/06,645100,"Cotisations à l'URSAAF
Charges URSAAF M1_2013",GERANT_M1_2013 cotisations URSAAF,139.66,,site Urssaf
25,2013/01/06,438000,"Organismes sociaux & Charges à payer et produits à recevoir
Cotisations CIPAV – rémunération_Gérant_M1_2013",GERANT_M1_2013 cotisations CIPAV,,96.19,Site CIPAV
26,2013/01/06,645300,"Cotisations CIPAV
Charges CIPAV M1_2013",GERANT_M1_2013 cotisations CIPAV,96.19,,Site CIPAV
27,2013/01/06,421000,"Exploitant - rémunération due
Rémunération_Gérant_M1_2013",GERANT_M1_2013 salaire,1000,,PV 2012 & taux prél sociaux
28,2013/01/06,512100,"Banque
Rémunération_Gérant_M1_2013",GERANT_M1_2013 salaire,,1000,virt Gérant juin 2013
29,2013/01/21,625000,"Voyages et déplacements
Carte intégrale navigo S1 - RATP",RATP_M1S1_2013 facture,34.4,,
30,2013/01/21,401100,"Fournisseurs - Achats de biens et services
Carte intégrale navigo S1 – RATP",RATP_M1S1_2013 facture,,34.4,
31,2013/01/21,401100,"Fournisseurs - Achats de biens et service
S Carte intégrale S1 2013 - RATP",RATP_M1S1_2013 paiment,34.4,,
32,2013/01/21,512100,"Banque
 Carte intégrale S1 2013 - RATP",RATP_M1S1_2013 paiment,,34.4,
33,2013/01/28,625000,"Voyages et déplacements
Carte intégrale navigo S2 - RATP",RATP_M1S2_2013 facture,34.4,,
34,2013/01/28,401100,"Fournisseurs - Achats de biens et services
Carte intégrale navigo S2 – RATP",RATP_M1S2_2013 facture,,34.4,
35,2013/01/28,401100,"Fournisseurs - Achats de biens et service
Carte intégrale S2 2013 - RATP",RATP_M1S2_2013 paiment,34.4,,
36,2013/01/28,512100,"Banque
 Carte intégrale S2 2013 - RATP",RATP_M1S2_2013 paiment,,34.4,
37,2013/01/28,625000,"Voyage et déplacement
Essence",Essence M1.1_2013 facture,46.27,,
38,2013/01/28,401100,"Fournisseurs - Achats de biens et services
Essence",Essence M1.1_2013 facture,,46.27,
39,2013/01/28,401100,"Fournisseurs - Achats de biens et service
Essence",Essence M1.1_2013 paiement,46.27,,
40,2013/01/28,512100,"Banque
 Essence",Essence M1.1_2013 paiement,,46.27,
41,2013/01/31,625000,"Voyage et déplacement
Péage",Péage M1_2013 facture,5.5,,
42,2013/01/31,401100,"Fournisseurs - Achats de biens et services
Péage",Péage M1_2013 facture,,5.5,
43,2013/01/31,401100,"Fournisseurs - Achats de biens et service
Péage",Péage M1_2013 paiement,5.5,,
44,2013/01/31,512100,"Banque
 Péage",Péage M1_2013 paiement,,5.5,
45,2013/01/31,706000,"Prestations de service
Facture EADS n°1 – prestations de janvier_2013",EADS_M1,,3960,FC EADS 1
46,2013/01/31,445710,"TVA collectée
Facture EADS n°1 – prestations de janvier_2013",EADS_M1,,776.160,FC EADS 1
47,2013/01/31,411000,Clientes – ventes de prestations de service Facture EADS n°1 – prestations de janvier_2013,EADS_M1,4736.16,,FC EADS 1
48,2013/02/05,627000,"Services bancaires et assimilés
Frais tenue de compte HSBC février_2013",HSBC_M2_2013 facture,22,,FF hsbc 2
49,2013/02/05,445660,TVA déductible TVA déductible sur frais tenue de compte HSBC février_2013,HSBC_M2_2013 facture,4.31,,FF hsbc 2
50,2013/02/05,401100,"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC février_2013",HSBC_M2_2013 facture,,26.31,FF hsbc 2
51,2013/02/05,401100,"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC février_2013",HSBC_M2_2013 service paiement,22,,PRLV TBD
52,2013/02/05,512100,"Banque
Frais tenue de compte HSBC février_2013",HSBC_M2_2013 service paiement,,22,PRLV TBD
53,2013/02/05,401100,"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC février_2013",HSBC_M2_2013 TVA paiement,4.31,,PRLV TBD
54,2013/02/05,512100,"Banque
Frais tenue de compte HSBC février_2013",HSBC_M2_2013 TVA paiement,,4.31,PRLV TBD
55,2013/02/06,644000,"Rémunération du travail de l'exploitant
Rémunération_Gérant_M2_2013",GERANT_M2_2013,1000,,PV 2012 & taux prél sociaux
56,2013/02/06,421000,"Exploitant - rémunération due
Rémunération_Gérant_M2_2013",GERANT_M2_2013,,1000,PV 2012 & taux prél sociaux
57,2013/02/06,438000,"Organismes sociaux & Charges à payer et produits à recevoir
Cotisations RSI rémunération_Gérant_M2_2013",GERANT_M2_2013 cotisations RSI,,60.14,site RSI
58,2013/02/06,645800,"Cotisations aux autres organismes sociaux
Charges RSI M2_2013",GERANT_M2_2013 cotisations RSI,60.14,,site RSI
59,2013/02/06,438000,"Organismes sociaux & Charges à payer et produits à recevoir
Cotisations Ursaaf – rémunération_Gérant_M2_2013",GERANT_M2_2013 cotisations URSAAF,,139.66,site Urssaf
60,2013/02/06,645100,"Cotisations à l'URSAAF
Charges URSAAF M2_2013",GERANT_M2_2013 cotisations URSAAF,139.66,,site Urssaf
61,2013/02/06,438000,"Organismes sociaux & Charges à payer et produits à recevoir
Cotisations CIPAV – rémunération_Gérant_M2_2013",GERANT_M2_2013 cotisations CIPAV,,96.19,Site CIPAV
62,2013/02/06,645300,"Cotisations CIPAV
Charges CIPAV M2_2013",GERANT_M2_2013 cotisations CIPAV,96.19,,Site CIPAV
63,2013/02/06,421000,"Exploitant - rémunération due
Rémunération_Gérant_M2_2013",GERANT_M2_2013 salaire,1000,,PV 2012 & taux prél sociaux
64,2013/02/06,512100,"Banque
Rémunération_Gérant_M2_2013",GERANT_M2_2013 salaire,,1000,virt Gérant février 2013
65,2013/02/07,438000,"Organismes sociaux & Charges à payer et produits à recevoir
Règlement 1er acompte URSAAF 2013",URSAAF_AC_1 facture,1752,,Appel cotisation 02/2013
66,2013/02/07,437010,"Cotisations aux autres organismes sociaux
Règlement 1er acompte URSAAF 2013",URSAAF_AC_1 facture,,1752,Appel cotisation 02/2013
67,2013/02/07,437010,"Cotisations aux autres organismes sociaux
Règlement 1er acompte URSAAF 2013",URSAAF_AC_1 paiement,1752,,PRLV Urssaf  de pari TBD
68,2013/02/07,512100,Banque Règlement 1er acompte URSAAF 2013,URSAAF_AC_1 paiement,,1752,PRLV Urssaf  de pari TBD
69,2013/02/07,625000,"Voyage et déplacement
Essence - E.LECLERC DAC",Essence 2013/02/07 facture,60.50,,
70,2013/02/07,401100,"Fournisseurs - Achats de biens et services
Essence - E.LECLERC DAC",Essence 2013/02/07 facture,,60.50,
71,2013/02/07,401100,"Fournisseurs - Achats de biens et services
Essence - E.LECLERC DAC",Essence 2013/02/07 paiement,60.50,,
72,2013/02/07,512100,"Banque
Essence - E.LECLERC DAC",Essence 2013/02/07 paiement,,60.50,
73,2013/02/07,625000,"Voyage et déplacement
Péage - COFIROUTE",Péage 2013/02/07 facture,9.00,,
74,2013/02/07,401100,"Fournisseurs - Achats de biens et services
Péage - COFIROUTE",Péage 2013/02/07 facture,,9.00,
75,2013/02/07,401100,"Fournisseurs - Achats de biens et services
Péage - COFIROUTE",Péage 2013/02/07 paiement,9.00,,
76,2013/02/07,512100,"Banque
Péage - COFIROUTE",Péage 2013/02/07 paiement,,9.00,
77,2013/02/12,625000,"Voyage et déplacement
Péage - COFIROUTE",Péage 2013/02/12 facture,5.50,,
78,2013/02/12,401100,"Fournisseurs - Achats de biens et services
Péage - COFIROUTE",Péage 2013/02/12 facture,,5.50,
79,2013/02/12,401100,"Fournisseurs - Achats de biens et services
Péage - COFIROUTE",Péage 2013/02/12 paiement,5.50,,
80,2013/02/12,512100,"Banque
Péage - COFIROUTE",Péage 2013/02/12 paiement,,5.50,
81,2013/02/15,625000,"Voyage et déplacement
Essence - STATION BP ROC",Essence 2013/02/15 facture,58.04,,
82,2013/02/15,401100,"Fournisseurs - Achats de biens et services
Essence - STATION BP ROC",Essence 2013/02/15 facture,,58.04,
83,2013/02/15,401100,"Fournisseurs - Achats de biens et services
Essence - STATION BP ROC",Essence 2013/02/15 paiement,58.04,,
84,2013/02/15,512100,"Banque
Essence - STATION BP ROC",Essence 2013/02/15 paiement,,58.04,
85,2013/02/15,625000,"Voyage et déplacement
Péage - COFIROUTE",Péage 2013/02/15 facture,9.00,,
