N°,Date,Comptes,Intitulé,Code opération,Débit,Crédit,Réf. Pièce
1,2012/01/01,616400,"Primes d'assurance - risques d'exploitation
Assurance risque d'exploitation AXA",AXA_2012,802.49,,Bilan 2011
2,2012/01/01,486000,"Charges constatées d'avance
Assurance risque d'exploitation 2012",AXA_2012,,802.49,Bilan 2011
3,2012/01/01,101000,Capital,OUVERTURE 2012,,2000,BILAN 2011
4,2012/01/01,106100,    Réserve légale,OUVERTURE 2012,,1200,BILAN 2011
5,2012/01/01,110000,Report à nouveau (solde créditeur),OUVERTURE 2012,,5201.83,BILAN 2011
6,2012/01/01,120000,Résultat de l'exercice (bénéfice),OUVERTURE 2012,0,19463.21,BILAN 2011
7,2012/01/01,401100,Fournisseurs - Achats de biens et services,OUVERTURE 2012,,,BILAN 2011
8,2012/01/01,411000,Clients – ventes de prestations de service,OUVERTURE 2012,24219,,BILAN 2011
9,2012/01/01,421000,Exploitant - rémunération due,OUVERTURE 2012,567.88,,BILAN 2011
10,2012/01/01,428600,Autres charges à payer,OUVERTURE 2012,,,BILAN 2011
11,2012/01/01,431000,Sécurité sociale RSI,OUVERTURE 2012,,0,BILAN 2011
12,2012/01/01,437010,"Autres organismes sociaux 
Cotisations Ursaaf",OUVERTURE 2012,,0,BILAN 2011
13,2012/01/01,437020,Cotisations aux autres organismes sociaux-CIPAV,OUVERTURE 2012,,0,BILAN 2011
14,2012/01/01,438000,    Organismes sociaux & Charges à payer et produits à recevoir,OUVERTURE 2012,,25739.28,BILAN 2011
15,2012/01/01,445660,TVA déductible,OUVERTURE 2012,409.2,,BILAN 2011
16,2012/01/01,445710,TVA collectée,OUVERTURE 2012,,3606.24,BILAN 2011
17,2012/01/01,445810,Acomptes – régime simplifié d'imposition,OUVERTURE 2012,,,BILAN 2011
18,2012/01/01,448600,Etat – Charges à payer,OUVERTURE 2012,,1350.24,BILAN 2011
19,2012/01/01,486000,Charges constatées d'avance,OUVERTURE 2012,802.49,,BILAN 2011
20,2012/01/01,512100,Banque,OUVERTURE 2012,32547.23,,BILAN 2011
21,2012/01/01,512101,Banque – Binck Bank,OUVERTURE 2012,15,,BILAN 2011
22,2012/01/01,513000,Caisse,OUVERTURE 2012,,,BILAN 2011
23,2012/01/03,625000,"Voyages et déplacements
Carte intégrale janvier 2012 - RATP",RATP_M1_2012 facture,101.13,,
24,2012/01/03,401100,"Fournisseurs - Achats de biens et services
Carte intégrale janvier 2012 - RATP",RATP_M1_2012 facture,,101.13,
25,2012/01/03,401100,Fournisseurs - Achats de biens et services Carte intégrale janvier 2012 - RATP,RATP_M1_2012 paiement,101.13,,
26,2012/01/03,512100,Banque Carte intégrale janvier 2012 - RATP,RATP_M1_2012 paiement,,101.13,
27,2012/01/04,618300,"Documentation technique 
Eyrolles – Livre1",Livre1 – facture,60.23,,
28,2012/01/04,445660,"TVA déductible 
Eyrolles – Livre1",TVA Livre1 – facture,3.31,,
29,2012/01/04,401100,"Fournisseurs - Achats de biens et services
 Eyrolles Livre1",Livres (Livre1) – facture,,63.54,
30,2012/01/04,401100,"Fournisseurs - Achats de biens et services Eyrolles
 Livre1",Livres (Livre1) – paiement,63.54,,
31,2012/01/04,512100,"Banque
Eyrolles Livre1",Livres (Livre1) – paiement,,63.54,
32,2012/01/05,627000,"Services bancaires et assimilés
Frais tenue de compte HSBC janvier_2012",HSBC_M1_2012 facture,20,,FF hsbc 1
33,2012/01/05,445660,TVA déductible TVA déductible sur frais tenue de compte HSBC janvier_2012,HSBC_M1_2012 facture,3.92,,FF hsbc 1
34,2012/01/05,401100,"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC janvier_2012",HSBC_M1_2012 facture,,23.92,FF hsbc 1
35,2012/01/05,401100,"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC janvier_2012",HSBC_M1_2012 paiement,23.92,,PRLV TBD
36,2012/01/05,512100,"Banque
Frais tenue de compte HSBC janvier_2012",HSBC_M1_2012 paiement,,23.92,PRLV TBD
37,2012/01/06,644000,"Rémunération du travail de l'exploitant
Rémunération_Gérant_M1_2012",GERANT_M1_2012,3200,,PV 2011 & taux prél sociaux
38,2012/01/06,421000,"Exploitant - rémunération due
Rémunération_Gérant_M1_2012",GERANT_M1_2012,,3200,PV 2011 & taux prél sociaux
39,2012/01/06,438000,"Organismes sociaux & Charges à payer et produits à recevoir
Cotisations RSI rémunération_Gérant_M1_2012",GERANT_M1_2012 cotisations RSI,,192.45,site RSI
40,2012/01/06,645800,"Cotisations aux autres organismes sociaux
Charges RSI M1_2012",GERANT_M1_2012 cotisations RSI,192.45,,site RSI
41,2012/01/06,438000,"Organismes sociaux & Charges à payer et produits à recevoir
Cotisations Ursaaf – rémunération_Gérant_M1_2012",GERANT_M1_2012 cotisations URSAAF,,446.92,site Urssaf
42,2012/01/06,645100,"Cotisations à l'URSAAF
Charges URSAAF M1_2012",GERANT_M1_2012 cotisations URSAAF,446.92,,site Urssaf
43,2012/01/06,438000,"Organismes sociaux & Charges à payer et produits à recevoir
Cotisations CIPAV – rémunération_Gérant_M1_2012",GERANT_M1_2012 cotisations CIPAV,,307.82,Site CIPAV
44,2012/01/06,645300,"Cotisations CIPAV
Charges CIPAV M1_2012",GERANT_M1_2012 cotisations CIPAV,307.82,,Site CIPAV
45,2012/01/06,421000,"Exploitant - rémunération due
Rémunération_Gérant_M1_2012",GERANT_M1_2012 salaire,3200,,PV 2011 & taux prél sociaux
46,2012/01/06,512100,"Banque
Rémunération_Gérant_M1_2012",GERANT_M1_2012 salaire,,3200,virt Gérant janvier 2012
47,2012/01/06,411000,"Clients- ventes de prestations de service
Règlement MOZILLA Facture n°22 - prestations de octobre_2011",MOZILLA_M10_2011 paiement,,5812.56,VIR MOZILLA INFORMATIQ TBD
48,2012/01/06,512100,"Banque
Règlement MOZILLA Facture n°22 - prestations de octobre_2011",MOZILLA_M10_2011 paiement,5812.56,,VIR MOZILLA INFORMATIQ TBD
