"Charges d'exploitation :
Achat de marchandises",0.00,0.00,"Produits d'exploitation :
Ventes de marchandises",0.00,0.00
Variation de stocks (marchandises),0.00,0.00,Production vendue (biens et services),14613.53,89910.00
Achats d'approvisionnements,0.00,35.35,Production stockée,0.00,0.00
Variations de stocks (approvisionnements),0.00,0.00,Production immobilisée,0.00,0.00
Autres charges externes,2093.68,2566.23,Subventions d'exploitation,0.00,0.00
"Impôts, taxes et versements assimilés",860.00,1600.00,Autres produits,0.00,0.00
Rémunérations du personnel,23000.00,50622.53,Produits financiers,0.00,0.00
Charges sociales,6807.88,12188.00,Total I,14613.53,89910.00
Dotations aux amortissements,0.00,0.00,dont à l’exploitation :,0.00,0.00
Dotations aux provisions,0.00,0.00,Produits exceptionnels (II),0.00,0.00
Autres charges,0.00,0.00,Total des produits (I+II),14613.53,89910.00
Charges financières,25.00,0.00,Solde débiteur : perte,18173.03,0.00
Total I,32786.56,67012.11,TOTAL GENERAL,32786.56,89910.00
Charges exceptionnelles (II),0.00,0.00,,0.00,0.00
Impôts sur les bénéfices (III),0.00,3434.68,,0.00,0.00
Total des charges (I +II+ III),32786.56,70446.79,,0.00,0.00
Solde créditeur : bénéfice (I),0.00,19463.21,,0.00,0.00
TOTAL GENERAL,32786.56,89910.00,,0.00,0.00
